Id2,Geography,Carto_CT,Total,Not Hispanic or Latino,White alone,Black alone,Amerindian  alone,Asian alone,Other alone,Hispanic or Latino,White Hispanic,Black Hispanic
36005022101,"Census Tract 221.01, Bronx County, New York",2022101,3927,910,5,667,0,209,2958,3017,246,92
36005022102,"Census Tract 221.02, Bronx County, New York",2022102,5453,1166,76,849,9,29,3859,4287,689,300
36005022200,"Census Tract 222, Bronx County, New York",2022200,3262,1421,191,423,6,715,1612,1841,392,40
36005022300,"Census Tract 223, Bronx County, New York",2022300,5275,1053,95,733,0,11,4485,4222,372,106
36005022401,"Census Tract 224.01, Bronx County, New York",2022401,2625,1156,225,597,21,244,1440,1469,140,0
36005022403,"Census Tract 224.03, Bronx County, New York",2022403,3651,1125,455,597,27,0,2222,2526,366,123
36005022404,"Census Tract 224.04, Bronx County, New York",2022404,4186,2388,996,930,117,307,1435,1798,342,244
36005022500,"Census Tract 225, Bronx County, New York",2022500,8570,2657,84,2370,31,201,4766,5913,881,592
36005022701,"Census Tract 227.01, Bronx County, New York",2022701,5702,2133,90,1865,0,168,2860,3569,634,156
36005022702,"Census Tract 227.02, Bronx County, New York",2022702,1534,579,0,436,0,118,825,955,134,21
36005022703,"Census Tract 227.03, Bronx County, New York",2022703,1841,728,130,348,0,237,997,1113,64,121
36005022800,"Census Tract 228, Bronx County, New York",2022800,6023,2815,1156,1070,0,550,2567,3208,602,187
36005022901,"Census Tract 229.01, Bronx County, New York",2022901,5922,2270,157,1737,60,79,2872,3652,407,943
36005022902,"Census Tract 229.02, Bronx County, New York",2022902,3537,1106,30,985,0,7,2022,2431,387,232
36005023000,"Census Tract 230, Bronx County, New York",2023000,2974,1404,732,315,83,262,1353,1570,351,0
36005023100,"Census Tract 231, Bronx County, New York",2023100,1570,661,47,614,0,0,572,909,311,30
36005023200,"Census Tract 232, Bronx County, New York",2023200,2804,1134,730,203,27,140,1451,1670,256,58
36005023301,"Census Tract 233.01, Bronx County, New York",2023301,3919,1288,0,1249,15,14,2393,2631,331,40
36005023302,"Census Tract 233.02, Bronx County, New York",2023302,3647,719,44,613,4,62,1858,2928,600,474
36005023501,"Census Tract 235.01, Bronx County, New York",2023501,3235,685,23,521,7,32,2090,2550,535,64
36005023502,"Census Tract 235.02, Bronx County, New York",2023502,4781,839,117,625,7,52,2685,3942,951,450
36005023600,"Census Tract 236, Bronx County, New York",2023600,2110,984,656,193,0,135,1037,1126,83,89
36005023702,"Census Tract 237.02, Bronx County, New York",2023702,1203,260,15,242,13,3,767,943,117,64
36005023703,"Census Tract 237.03, Bronx County, New York",2023703,5746,1406,179,1089,17,108,3810,4340,491,366
36005023704,"Census Tract 237.04, Bronx County, New York",2023704,4295,885,20,794,30,17,3308,3410,80,98
36005023800,"Census Tract 238, Bronx County, New York",2023800,2551,1061,338,504,14,190,1429,1490,132,56
36005023900,"Census Tract 239, Bronx County, New York",2023900,7547,1784,0,1482,50,75,5214,5763,613,330
36005024000,"Census Tract 240, Bronx County, New York",2024000,3986,1290,189,1006,0,66,2194,2696,566,115
36005024100,"Census Tract 241, Bronx County, New York",2024100,6378,2119,202,1825,18,30,3559,4259,345,405
36005024300,"Census Tract 243, Bronx County, New York",2024300,5446,1799,43,1488,46,277,2991,3647,382,255
36005024400,"Census Tract 244, Bronx County, New York",2024400,2276,1083,864,104,19,96,1106,1193,148,6
36005024501,"Census Tract 245.01, Bronx County, New York",2024501,5601,1144,12,1031,0,57,3772,4457,406,379
36005024502,"Census Tract 245.02, Bronx County, New York",2024502,3882,989,25,963,65,0,2017,2893,616,222
36005024600,"Census Tract 246, Bronx County, New York",2024600,2365,1450,932,93,0,418,805,915,100,43
36005024700,"Census Tract 247, Bronx County, New York",2024700,1884,868,26,806,0,36,796,1016,138,131
36005024800,"Census Tract 248, Bronx County, New York",2024800,2998,2099,1414,374,28,342,564,899,266,33
36005024900,"Census Tract 249, Bronx County, New York",2024900,0,0,0,0,0,0,0,0,0,0
36005025000,"Census Tract 250, Bronx County, New York",2025000,2716,1834,1361,36,0,393,785,882,302,1
36005025100,"Census Tract 251, Bronx County, New York",2025100,6732,2038,3,1198,0,794,4262,4694,623,107
36005025200,"Census Tract 252, Bronx County, New York",2025200,2780,1753,1200,142,75,340,814,1027,269,73
36005025300,"Census Tract 253, Bronx County, New York",2025300,6279,1427,39,895,63,294,4397,4852,671,177
36005025400,"Census Tract 254, Bronx County, New York",2025400,2325,1694,1346,80,27,205,411,631,242,56
36005025500,"Census Tract 255, Bronx County, New York",2025500,6523,1055,227,747,209,0,4825,5468,863,127
36005025600,"Census Tract 256, Bronx County, New York",2025600,1536,807,410,203,0,178,385,729,306,89
36005025700,"Census Tract 257, Bronx County, New York",2025700,1941,436,45,365,18,5,1413,1505,147,30
36005026100,"Census Tract 261, Bronx County, New York",2026100,1969,1155,66,1014,3,45,710,814,177,95
36005026300,"Census Tract 263, Bronx County, New York",2026300,5993,1716,435,1063,178,0,3622,4277,739,249
36005026400,"Census Tract 264, Bronx County, New York",2026400,5519,2872,1875,357,0,691,2129,2647,674,16
36005026500,"Census Tract 265, Bronx County, New York",2026500,8499,1715,309,667,0,485,6417,6784,976,66
36005026601,"Census Tract 266.01, Bronx County, New York",2026601,3377,1515,1119,107,0,258,1288,1862,667,78
36005026602,"Census Tract 266.02, Bronx County, New York",2026602,5714,2770,2040,482,91,130,2058,2944,1121,34
36005026701,"Census Tract 267.01, Bronx County, New York",2026701,4101,1263,97,392,102,674,2640,2838,305,231
36005026702,"Census Tract 267.02, Bronx County, New York",2026702,7115,1491,170,1083,8,82,4653,5624,857,476
36005026900,"Census Tract 269, Bronx County, New York",2026900,3802,806,29,527,35,143,2548,2996,533,111
36005027300,"Census Tract 273, Bronx County, New York",2027300,7732,1958,275,1373,19,181,4883,5774,1113,556
36005027401,"Census Tract 274.01, Bronx County, New York",2027401,4961,3821,3593,67,0,161,991,1140,492,0
36005027402,"Census Tract 274.02, Bronx County, New York",2027402,3460,2663,2463,27,0,107,521,797,427,11
36005027600,"Census Tract 276, Bronx County, New York",2027600,36,29,22,7,0,0,14,7,0,0
36005027700,"Census Tract 277, Bronx County, New York",2027700,5674,1515,562,700,115,153,3651,4159,451,217
36005027900,"Census Tract 279, Bronx County, New York",2027900,7350,2682,1213,927,147,375,3757,4668,1146,205
36005028100,"Census Tract 281, Bronx County, New York",2028100,4314,2272,1241,769,31,134,1333,2042,924,22
36005028300,"Census Tract 283, Bronx County, New York",2028300,2927,1048,285,758,0,1,1355,1879,464,160
36005028400,"Census Tract 284, Bronx County, New York",2028400,595,396,174,183,5,15,222,199,15,0
36005028500,"Census Tract 285, Bronx County, New York",2028500,3377,2156,1672,98,17,323,889,1221,535,83
36005028600,"Census Tract 286, Bronx County, New York",2028600,1284,895,725,14,0,125,273,389,178,7
36005028700,"Census Tract 287, Bronx County, New York",2028700,3332,1548,970,314,21,226,1554,1784,286,143
36005028800,"Census Tract 288, Bronx County, New York",2028800,3274,2727,2290,175,0,288,542,547,133,0
36005028900,"Census Tract 289, Bronx County, New York",2028900,4646,1354,777,216,0,125,2430,3292,1115,262
36005029301,"Census Tract 293.01, Bronx County, New York",2029301,1835,1544,1312,126,0,25,375,291,100,11
36005029302,"Census Tract 293.02, Bronx County, New York",2029302,5838,4525,3776,463,0,138,1451,1313,341,110
36005029500,"Census Tract 295, Bronx County, New York",2029500,4614,3544,2600,540,0,246,1317,1070,260,48
36005029600,"Census Tract 296, Bronx County, New York",2029600,1650,1239,403,325,19,505,247,411,165,16
36005029700,"Census Tract 297, Bronx County, New York",2029700,3791,2969,2483,207,0,234,547,822,378,24
36005030000,"Census Tract 300, Bronx County, New York",2030000,5687,3032,1914,360,0,729,2151,2655,633,110
36005030100,"Census Tract 301, Bronx County, New York",2030100,1314,867,684,100,0,57,363,447,165,24
36005030200,"Census Tract 302, Bronx County, New York",2030200,9613,7297,549,5917,0,116,2038,2316,416,635
36005030701,"Census Tract 307.01, Bronx County, New York",2030701,5580,4679,4054,311,0,170,780,901,236,129
36005030900,"Census Tract 309, Bronx County, New York",2030900,3582,2928,2574,166,19,129,200,654,400,137
36005031000,"Census Tract 310, Bronx County, New York",2031000,4806,3081,1520,1029,196,417,1134,1725,481,184
36005031200,"Census Tract 312, Bronx County, New York",2031200,1779,1495,671,461,0,325,229,284,116,44
36005031400,"Census Tract 314, Bronx County, New York",2031400,2228,1421,839,269,0,255,479,807,355,41
36005031600,"Census Tract 316, Bronx County, New York",2031600,1899,1180,709,148,0,281,577,719,193,73
36005031800,"Census Tract 318, Bronx County, New York",2031800,2001,1355,720,492,23,209,179,646,329,49
36005031900,"Census Tract 319, Bronx County, New York",2031900,636,479,367,78,0,30,103,157,66,17
36005032300,"Census Tract 323, Bronx County, New York",2032300,4423,3783,2807,494,0,285,589,640,331,128
36005032400,"Census Tract 324, Bronx County, New York",2032400,3173,1107,332,623,0,27,1704,2066,536,90
36005032600,"Census Tract 326, Bronx County, New York",2032600,3463,2760,1593,333,6,793,721,703,74,7
36005032800,"Census Tract 328, Bronx County, New York",2032800,4005,1973,477,943,62,447,1943,2032,354,87
36005033000,"Census Tract 330, Bronx County, New York",2033000,5925,2806,1840,863,0,46,2107,3119,852,217
36005033201,"Census Tract 332.01, Bronx County, New York",2033201,4490,1604,796,652,90,60,2024,2886,826,262
36005033202,"Census Tract 332.02, Bronx County, New York",2033202,4334,1905,661,1164,0,51,1676,2429,748,280
36005033400,"Census Tract 334, Bronx County, New York",2033400,570,189,92,88,0,9,231,381,114,36
36005033500,"Census Tract 335, Bronx County, New York",2033500,2112,1780,1486,118,0,126,281,332,149,23
36005033600,"Census Tract 336, Bronx County, New York",2033600,6822,3193,221,2780,20,129,2117,3629,1343,293
36005033700,"Census Tract 337, Bronx County, New York",2033700,2490,2094,1614,195,8,152,518,396,152,45
36005033800,"Census Tract 338, Bronx County, New York",2033800,4350,2182,342,1454,52,335,1739,2168,520,74
36005034000,"Census Tract 340, Bronx County, New York",2034000,4984,2562,255,1922,116,131,2121,2422,604,156
36005034200,"Census Tract 342, Bronx County, New York",2034200,2040,1145,125,920,65,70,625,895,316,0
36005034300,"Census Tract 343, Bronx County, New York",2034300,1609,948,618,297,0,2,550,661,182,31
36005034400,"Census Tract 344, Bronx County, New York",2034400,2207,1375,125,772,0,286,871,832,188,34
36005034500,"Census Tract 345, Bronx County, New York",2034500,3591,2698,1827,278,0,561,673,893,310,46
36005034800,"Census Tract 348, Bronx County, New York",2034800,6776,3526,159,3077,0,172,2502,3250,906,280
36005035000,"Census Tract 350, Bronx County, New York",2035000,1951,1320,58,1193,0,48,447,631,124,116
36005035100,"Census Tract 351, Bronx County, New York",2035100,3628,2554,2066,209,20,209,695,1074,500,47
36005035600,"Census Tract 356, Bronx County, New York",2035600,2400,1891,71,1524,23,169,637,509,92,18
36005035800,"Census Tract 358, Bronx County, New York",2035800,8115,6499,190,5860,187,177,1486,1616,297,238
36005035900,"Census Tract 359, Bronx County, New York",2035900,2234,551,0,495,7,56,1465,1683,202,70
36005036000,"Census Tract 360, Bronx County, New York",2036000,2977,2013,327,1243,0,375,710,964,266,153
36005036100,"Census Tract 361, Bronx County, New York",2036100,5794,1595,27,1565,0,3,3440,4199,588,409
36005036300,"Census Tract 363, Bronx County, New York",2036300,8121,1641,152,1412,30,23,5388,6480,1272,108
36005036400,"Census Tract 364, Bronx County, New York",2036400,2474,2146,0,1998,101,0,406,328,5,11
36005036501,"Census Tract 365.01, Bronx County, New York",2036501,4079,1708,12,1654,13,0,1778,2371,618,237
36005036502,"Census Tract 365.02, Bronx County, New York",2036502,2182,593,75,468,15,50,1300,1589,168,150
36005036700,"Census Tract 367, Bronx County, New York",2036700,2592,763,40,708,2,0,1474,1829,329,112
36005036800,"Census Tract 368, Bronx County, New York",2036800,2152,1659,42,1617,0,0,234,493,173,108
36005036901,"Census Tract 369.01, Bronx County, New York",2036901,2259,466,4,450,6,0,1398,1793,171,247
36005036902,"Census Tract 369.02, Bronx County, New York",2036902,2150,827,20,807,37,0,875,1323,364,87
36005037000,"Census Tract 370, Bronx County, New York",2037000,2307,1739,88,1588,0,18,586,568,78,0
36005037100,"Census Tract 371, Bronx County, New York",2037100,4308,1881,90,1668,0,21,1591,2427,961,154
36005037200,"Census Tract 372, Bronx County, New York",2037200,2083,1481,27,1265,0,51,777,602,136,39
36005037300,"Census Tract 373, Bronx County, New York",2037300,5858,2275,138,2100,72,2,2261,3583,766,632
